property_type,sector,bedroom,bathroom,balcony,floorNum,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_score,price
0,77,2,2,2,1,1,1311.111111111111,0,0,0,1,0.9
0,105,2,2,1,2,1,646.0,0,0,2,1,0.45
0,50,4,5,3,2,0,5000.0,1,0,1,2,8.44
0,92,3,3,4,2,2,1988.888888888889,0,0,0,2,1.35
1,39,3,2,0,1,3,900.0,0,0,0,1,0.85
1,83,4,5,4,2,3,7000.0,0,0,2,1,8.6
1,31,5,5,2,2,2,2295.0,0,0,0,1,8.1
0,50,4,4,4,2,0,2711.5714285714284,1,0,0,1,6.5
0,44,2,2,2,2,3,1242.2222222222222,0,0,0,2,1.1
1,30,5,5,4,2,0,9500.0,1,0,1,1,10.0
0,6,3,4,4,0,3,2035.952380952381,1,0,2,1,1.75
1,47,2,2,1,1,0,67.0,0,0,0,1,0.58
0,88,3,3,3,2,0,1968.7619047619048,1,0,0,1,1.15
1,52,4,4,3,2,0,900.0,0,1,2,1,2.4
0,43,2,2,2,2,1,666.6666666666666,0,0,0,1,0.4
0,15,3,3,4,2,4,1615.0,0,0,0,1,2.35
0,73,3,3,3,0,1,2282.222222222222,1,0,2,0,3.5
0,43,3,3,3,2,1,1400.0,0,0,0,1,1.26
1,79,2,4,3,2,2,900.0,1,0,2,2,0.9
0,10,4,5,3,0,1,2343.0,1,0,1,2,4.1
1,50,3,4,4,2,1,1935.0,1,0,2,2,1.95
0,39,3,2,2,2,1,1444.4444444444443,0,0,0,2,1.35
0,10,3,4,4,0,3,1500.29,1,0,0,2,1.7
0,107,2,2,0,2,1,990.0,0,0,0,1,0.46
0,109,2,2,1,2,3,497.77777777777777,0,0,0,2,0.27
0,73,3,3,4,2,3,1650.0,0,0,0,1,2.6
0,9,2,2,2,0,1,622.2222222222222,0,0,0,1,0.5
0,111,2,2,2,2,3,619.0,0,0,0,1,0.27
1,11,5,6,2,1,3,5400.0,1,0,0,0,7.0
1,12,2,1,2,1,2,900.0,0,0,0,1,1.7
1,79,2,2,0,1,2,126.0,0,0,0,1,1.0
1,47,2,1,1,1,0,75.0,0,0,0,1,0.55
0,4,3,3,3,2,3,1464.4761904761904,1,0,0,1,1.75
0,10,4,5,3,0,3,2343.0,0,0,0,2,3.95
0,58,1,1,2,1,2,458.4920634920635,0,0,0,1,0.3
0,57,3,3,4,0,2,2356.904761904761,1,0,2,2,3.0
0,2,3,3,4,2,0,1913.5714285714284,1,0,0,1,0.75
0,35,3,2,1,2,3,1000.0,0,0,0,1,0.4
0,80,3,4,2,0,3,1950.0,1,0,0,1,1.75
0,111,2,2,2,2,0,1350.0,0,0,0,2,0.75
0,97,4,6,3,2,3,3890.0,1,0,0,0,1.91
1,47,2,3,1,1,0,675.0,0,0,0,1,0.8
0,5,4,5,4,0,1,2415.7142857142853,1,0,0,2,2.0
0,111,2,2,3,1,1,822.0,0,0,0,2,0.65
0,44,2,3,2,2,4,655.5555555555555,0,0,0,1,0.45
1,79,2,2,2,1,2,1440.0,0,0,0,1,2.0
0,74,4,4,3,2,3,2500.7619047619046,1,0,0,1,2.7
1,45,6,6,4,2,2,1836.0,1,0,2,0,4.0
1,67,4,2,2,1,0,1600.0,0,0,0,1,0.4
0,9,3,2,2,2,3,716.6666666666666,0,0,0,1,0.5
0,46,3,3,4,1,2,2400.0,0,0,0,1,2.0
0,109,2,1,0,0,1,500.0,0,0,0,1,0.3
0,44,3,2,4,0,3,1375.2380952380952,0,0,0,1,1.5
0,81,2,2,2,0,1,1402.2222222222222,0,0,0,1,1.25
0,9,3,3,4,1,3,1690.0873015873017,0,0,2,0,1.29
1,30,5,5,4,2,2,1800.0,1,1,2,0,6.5
0,103,4,4,4,2,0,2467.285714285714,0,0,0,2,1.65
0,33,3,4,4,0,3,2000.0,1,0,2,0,6.2
0,25,2,2,3,0,0,1415.9523809523807,0,0,0,2,0.98
0,97,3,4,4,2,1,2178.6666666666665,0,1,0,2,1.78
0,69,3,3,2,2,4,1811.111111111111,0,0,0,1,2.2
0,101,3,3,3,2,3,1922.6190476190477,1,0,0,2,1.5
0,5,3,4,4,2,1,1734.0238095238094,1,0,0,1,1.12
0,89,3,4,2,0,1,2388.8888888888887,1,0,0,1,1.9
0,111,2,2,3,2,4,1221.428571428571,0,0,0,2,0.78
0,95,2,2,2,1,3,990.0,0,0,2,0,0.6
1,75,4,5,4,1,3,2259.0,0,1,2,2,5.46
0,53,1,1,2,2,2,598.8888888888889,0,0,0,2,0.65
0,95,3,3,3,2,3,1548.4349206349204,1,0,2,2,1.75
1,18,5,5,2,2,2,1350.0,0,0,0,1,2.0
0,63,3,3,4,1,2,1450.0,0,0,0,0,1.37
0,39,3,3,4,2,1,1618.6190476190477,0,0,0,1,2.0
0,80,3,4,3,2,3,1527.142857142857,1,0,2,1,1.65
0,68,4,5,3,0,0,2791.0,1,0,2,0,3.8
0,14,4,4,3,2,0,3076.190476190476,1,0,2,2,3.45
0,99,2,2,4,2,3,133.05555555555554,0,0,1,2,1.45
0,65,3,4,1,0,0,2164.0,1,0,2,0,3.8
0,81,2,2,3,0,1,1141.8095238095236,0,0,0,2,1.65
1,52,8,8,4,2,0,2385.0,0,0,2,1,5.5
0,33,3,4,4,2,0,1955.5555555555557,1,0,1,1,2.2
1,50,4,4,4,2,0,540.0,1,0,1,2,2.45
0,14,2,1,1,1,3,542.8571428571428,0,0,0,1,0.22
1,30,9,9,0,1,3,7000.0,0,0,0,1,13.5
1,5,3,5,4,2,3,3534.0,0,0,0,1,2.25
0,81,3,3,3,2,3,1945.238095238095,0,1,2,2,2.3
1,79,5,3,0,1,2,148.0,0,0,0,1,2.25
0,39,3,3,3,2,2,1618.6190476190477,0,0,0,2,1.79
0,107,2,2,1,2,3,562.9555555555555,0,0,1,1,0.32
0,105,3,3,3,1,0,1303.2642857142855,0,0,0,2,0.65
0,2,4,4,3,2,0,2232.047619047619,0,0,0,1,0.9
0,111,2,2,2,2,3,750.0,0,0,0,1,0.38
0,82,2,2,1,2,0,639.0,0,0,0,2,0.59
0,17,2,2,0,2,1,1310.0,0,0,0,2,1.83
0,4,3,3,3,2,3,1852.0,0,0,0,2,2.12
0,73,4,4,3,0,0,12222.222222222224,1,0,0,2,13.2
