property_type,society,sector,price,price_per_sqft,bedroom,bathroom,balcony,floorNum,agePossession,built_up_area,servant room,study room,store room,pooja room,others,furnishing_type,luxury_score
flat,supertech hues,sector 68,0.9,7627.0,2,2,2,1.0,New Property,1311.111111111111,0,0,0,0,0,0,44
flat,gls avenue 51,sector 92,0.45,7614.0,2,2,1,10.0,New Property,646.0,0,1,0,0,0,2,20
flat,beverley park 1,sector 43,8.44,16231.0,4,5,3,9.0,Moderately Old,5000.0,1,0,0,0,0,1,117
flat,bestech park view ananda,sector 81,1.35,7542.0,3,3,3+,8.0,Old Property,1988.888888888889,0,0,0,0,0,0,123
house,nitin vihar,sector 33,0.85,9444.0,3,2,0,1.0,Relatively New,900.0,0,0,0,0,0,0,15
house,tata primanti,sector 72,8.6,12286.0,4,5,3+,3.0,Relatively New,7000.0,0,0,0,0,0,2,30
house,independent,sector 26,8.1,35294.0,5,5,2,4.0,Old Property,2295.0,0,0,0,0,0,0,42
flat,dlf royalton tower,sector 43,6.5,20687.0,4,4,3+,9.0,Moderately Old,2711.5714285714284,1,0,0,0,0,0,15
flat,signature global city,sector 37d,1.1,9839.0,2,2,2,4.0,Relatively New,1242.2222222222222,0,0,0,0,0,0,67
house,independent,sector 25,10.0,37037.0,5,5,3+,3.0,Moderately Old,9500.0,1,0,0,1,0,1,29
flat,ats triumph,sector 104,1.75,7642.0,3,4,3+,12.0,Relatively New,2035.952380952381,1,1,0,1,1,2,21
house,independent,sector 4,0.58,9619.0,2,2,1,2.0,Moderately Old,67.0,0,0,0,1,1,0,7
flat,umang monsoon breeze,sector 78,1.15,5285.0,3,3,3,9.0,Moderately Old,1968.7619047619046,1,0,0,0,1,0,22
house,independent,sector 46,2.4,2963.0,4,4,3,3.0,Moderately Old,900.0,0,0,1,0,0,2,44
flat,millenia,sector 37c,0.4,6667.0,2,2,2,4.0,New Property,666.6666666666666,0,0,0,0,0,0,29
flat,m3m the tree of life,sector 111,2.35,14551.0,3,3,3+,5.0,Under Construction,1615.0,0,0,0,0,0,0,0
flat,m3m skycity,sector 65,3.5,17040.0,3,3,3,15.0,New Property,2282.222222222222,1,1,0,1,0,2,184
flat,corona optus,sector 37c,1.26,7250.0,3,3,3,4.0,New Property,1400.0,0,0,0,0,0,0,28
house,independent,sector 7,0.9,10000.0,2,4,3,3.0,Old Property,900.0,1,0,0,0,1,2,61
flat,sobha city,sector 108,4.1,23402.0,4,5,3,25.0,New Property,2343.0,1,1,0,0,0,1,106
house,sushant lok 1 builder floors,sector 43,1.95,10078.0,3,4,3+,4.0,New Property,1935.0,1,0,0,0,0,2,78
flat,central park flower valley,sector 33,1.35,10385.0,3,2,2,3.0,New Property,1444.4444444444443,0,0,0,0,0,0,96
flat,experion the heartsong,sector 108,1.7,8487.0,3,4,3+,14.0,Relatively New,1500.29,1,0,0,0,0,0,128
flat,sidhartha ncr one phase,sector 95,0.46,4646.0,2,2,0,6.0,New Property,990.0,0,0,0,0,0,0,0
flat,prime habitat,sector 99a,0.27,6054.0,2,2,1,10.0,Relatively New,497.77777777777777,0,0,0,0,0,0,76
flat,emaar mgf emerald floors,sector 65,2.6,15758.0,3,3,3+,3.0,Relatively New,1650.0,0,0,0,0,0,0,0
flat,signature global solera 2,sector 107,0.5,8929.0,2,2,2,13.0,New Property,622.2222222222222,0,0,0,0,0,0,8
flat,hcbs sports ville,sohna road,0.27,4348.0,2,2,2,10.0,Relatively New,619.0,0,0,0,0,0,0,43
house,international city by sobha phase 2,sector 109,7.0,12963.0,5,6,2,2.0,Relatively New,5400.0,1,0,0,0,0,0,172
house,independent,sector 10a,1.7,18889.0,2,1,2,2.0,Old Property,900.0,0,0,0,0,1,0,8
house,independent,sector 7,1.0,8818.0,2,2,0,0.0,Old Property,126.0,0,1,0,0,0,0,7
house,independent,sector 4,0.55,6815.0,2,1,1,1.0,Moderately Old,75.0,0,0,0,0,0,0,0
flat,shapoorji pallonji joyville gurugram,sector 102,1.75,9449.0,3,3,3,10.0,Relatively New,1464.4761904761904,1,1,0,1,1,0,49
flat,sobha city,sector 108,3.95,16859.0,4,5,3,25.0,Relatively New,2343.0,0,0,0,0,0,0,59
flat,housing board colony,sector 51,0.3,7317.0,1,1,2,0.0,Old Property,458.4920634920635,0,0,0,0,0,0,0
flat,the close north,sector 50,3.0,11516.0,3,3,3+,14.0,Old Property,2356.9047619047615,1,0,0,0,0,2,139
flat,prasha apartments,manesar,0.75,3308.0,3,3,3+,3.0,Moderately Old,1913.5714285714284,1,0,0,0,0,0,31
flat,om appartments,sector 3 phase 2,0.4,4444.0,3,2,1,3.0,Relatively New,1000.0,0,0,0,0,0,0,15
flat,shree vardhman victoria,sector 70,1.75,8974.0,3,4,2,16.0,Relatively New,1950.0,1,0,0,1,0,0,49
flat,silverglades the melia,sohna road,0.75,5556.0,2,2,2,4.0,Moderately Old,1350.0,0,0,0,0,0,0,78
flat,ss the leaf,sector 85,1.91,5026.0,4,6,3,6.0,Relatively New,3890.0,1,0,0,0,0,0,192
house,independent,sector 4,0.8,11852.0,2,3,1,2.0,Moderately Old,675.0,0,0,0,0,0,0,0
flat,ansal housing highland park,sector 103,2.0,7491.0,4,5,3+,14.0,New Property,2415.7142857142853,1,0,0,0,0,0,54
flat,signature global park,sohna road,0.65,7295.0,2,2,3,1.0,New Property,822.0,0,0,0,0,0,0,58
flat,signature global the millennia 3,sector 37d,0.45,7627.0,2,3,2,8.0,Under Construction,655.5555555555555,0,0,0,0,0,0,8
house,independent,sector 7,2.0,13889.0,2,2,2,2.0,Old Property,1440.0,0,0,0,0,0,0,22
flat,bptp mansions park prime,sector 66,2.7,9768.0,4,4,3,6.0,Relatively New,2500.7619047619046,1,0,0,0,1,0,13
house,independent,sector 38,4.0,21786.0,6,6,3+,4.0,Old Property,1836.0,1,1,0,1,1,2,155
house,bhim nagar society,sector 6,0.4,2500.0,4,2,2,1.0,Moderately Old,1600.0,0,0,0,0,0,0,0
flat,signature global solera,sector 107,0.5,7752.0,3,2,2,6.0,Relatively New,716.6666666666666,0,0,0,0,1,0,49
flat,milan cghs 9,sector 39,2.0,8333.0,3,3,3+,0.0,Old Property,2400.0,0,0,0,0,0,0,0
flat,laxmi pareena,sector 99a,0.3,6667.0,2,1,0,12.0,New Property,500.0,0,0,0,0,0,0,0
flat,bptp park generations,sector 37d,1.5,9868.0,3,2,3+,17.0,Relatively New,1375.2380952380952,0,0,0,0,0,0,42
flat,aipl zen residences,sector 70a,1.25,9905.0,2,2,2,19.0,New Property,1402.2222222222222,0,0,0,0,0,0,42
flat,m3m woodshire,sector 107,1.29,8836.0,3,3,3+,1.0,Relatively New,1690.0873015873015,0,0,0,1,0,2,192
house,dlf city plots phase 2,sector 25,6.5,36111.0,5,5,3+,3.0,Old Property,1800.0,1,1,1,1,0,2,160
flat,dlf new town heights,sector 90,1.65,5684.0,4,4,3+,7.0,Moderately Old,2467.285714285714,0,0,0,0,0,0,126
flat,suncity platinum towers,sector 28,6.2,23091.0,3,4,3+,21.0,Relatively New,2000.0,1,0,0,0,0,2,178
